,Всего преступлений,Мошенничества,Мошенничество в сфере компьютерной информации,Публичные призывы (терроризм),Публичные призывы (экстремизм),Преступления в сфере компьютерной информации,Неправомерный доступ,Создание и распространение вредоносного ПО
2026-01-01,-38488,355965,334,-2128,706,-14570,-2456985,535
2026-02-01,23543,-31460,-27,-14,306,-12155,-2433716,249
2026-03-01,91492,900,37,596,357,-9560,-2452299,266
