,Всего преступлений,Мошенничества,Мошенничество в сфере компьютерной информации,Публичные призывы (терроризм),Публичные призывы (экстремизм),Преступления в сфере компьютерной информации,Неправомерный доступ,Создание и распространение вредоносного ПО
2026-01-01,482885,239945,212,749,375,54878,54139,233
2026-02-01,487545,242410,212,761,378,55959,55208,236
2026-03-01,492205,244875,211,773,380,57039,56277,238
