Показатель,Линейная_R2,Линейная_RMSE,Линейная_MAE,SARIMA_RMSE,SARIMA_MAE,SARIMA_params,SARIMA_AIC
Всего преступлений,0.17337830686512312,176211.66098960376,148806.31431354387,73526.69807431631,27975.535484818116,"(0, 1, 0, 1, 1, 0, 12)",1095.4349038500106
Мошенничества,0.18533238418600884,88001.5687741763,73530.5699155019,35206.07189926449,13341.364053658894,"(1, 1, 0, 1, 1, 1, 12)",1007.2958116650466
Мошенничество в сфере компьютерной информации,0.00433529217016293,119.08265114051176,101.86332702651836,81.03348873682832,48.8734761884741,"(1, 1, 1, 0, 1, 1, 12)",524.9242044919088
Публичные призывы (терроризм),0.4969284530217134,206.1215970941324,161.47288432772982,1771.932857308554,1365.3850827137471,"(1, 0, 1, 1, 0, 1, 12)",118.08880299861119
Публичные призывы (экстремизм),0.10014828716410296,152.2313942416047,128.9882970608921,64.46101400646027,27.175141622568166,"(1, 1, 1, 0, 1, 1, 12)",427.64595781097233
Преступления в сфере компьютерной информации,0.490527226903827,18746.86890773817,12940.741784465425,60179.92400305412,40229.7879607315,"(0, 1, 1, 1, 1, 0, 12)",6.0
Неправомерный доступ,0.48591569115146493,18720.033690365643,12885.34060565236,910709.3571152163,679605.0902285855,"(0, 1, 0, 1, 1, 0, 12)",4.0
Создание и распространение вредоносного ПО,0.1334895256728701,107.48725984881493,86.63567400644469,66.2787077995597,39.15734990705823,"(0, 1, 1, 0, 1, 0, 12)",476.56353806057786
